Fecha               Zona           Cont.     Valor     
2019-02-22 01:00h   MONTEVIL       PM10      61        
2019-02-23 01:00h   MONTEVIL       PM10      57        
2019-02-24 01:00h   MONTEVIL       PM10      57        
2019-02-22 01:00h   S.BARBARA      PM10      54        
==================================================================
2018-12-25 01:00h   CONSTITUCION   PM25      26        
2018-12-26 01:00h   CONSTITUCION   PM25      28        
2019-01-05 01:00h   CONSTITUCION   PM25      26        
2019-02-16 01:00h   CONSTITUCION   PM25      30        
2019-02-26 01:00h   CONSTITUCION   PM25      28        
2018-11-28 01:00h   MONTEVIL       PM25      28        
2018-12-24 01:00h   MONTEVIL       PM25      27        
2018-12-25 01:00h   MONTEVIL       PM25      31        
2018-12-26 01:00h   MONTEVIL       PM25      34        
2018-12-31 01:00h   MONTEVIL       PM25      27        
2019-01-05 01:00h   MONTEVIL       PM25      31        
2019-02-14 01:00h   MONTEVIL       PM25      27        
2019-02-16 01:00h   MONTEVIL       PM25      34        
2019-02-24 01:00h   MONTEVIL       PM25      27        
2019-02-25 01:00h   MONTEVIL       PM25      30        
2019-02-26 01:00h   MONTEVIL       PM25      30        
2018-11-16 01:00h   S.BARBARA      PM25      27        
2018-11-28 01:00h   S.BARBARA      PM25      32        
2018-11-30 01:00h   S.BARBARA      PM25      27        
2018-12-17 01:00h   S.BARBARA      PM25      26        
2018-12-18 01:00h   S.BARBARA      PM25      26        
2018-12-21 01:00h   S.BARBARA      PM25      26        
2018-12-25 01:00h   S.BARBARA      PM25      29        
2018-12-26 01:00h   S.BARBARA      PM25      29        
2019-01-05 01:00h   S.BARBARA      PM25      27        
2019-02-14 01:00h   S.BARBARA      PM25      26        
2019-02-15 01:00h   S.BARBARA      PM25      26        
2019-02-16 01:00h   S.BARBARA      PM25      34        
2019-02-23 01:00h   S.BARBARA      PM25      27        
2019-02-25 01:00h   S.BARBARA      PM25      27        
2019-02-26 01:00h   S.BARBARA      PM25      30        
==================================================================
2018-11-15 01:00h   CONSTITUCION   NO2       56        
2018-11-16 01:00h   CONSTITUCION   NO2       52        
2018-11-17 01:00h   CONSTITUCION   NO2       54        
2018-11-22 01:00h   CONSTITUCION   NO2       58        
2018-11-28 01:00h   CONSTITUCION   NO2       59        
2018-11-29 01:00h   CONSTITUCION   NO2       62        
2018-11-30 01:00h   CONSTITUCION   NO2       53        
2018-12-01 01:00h   CONSTITUCION   NO2       53        
2018-12-11 01:00h   CONSTITUCION   NO2       53        
2018-12-12 01:00h   CONSTITUCION   NO2       51        
2018-12-17 01:00h   CONSTITUCION   NO2       56        
2018-12-20 01:00h   CONSTITUCION   NO2       56        
2018-12-21 01:00h   CONSTITUCION   NO2       74        
2018-12-22 01:00h   CONSTITUCION   NO2       54        
2018-12-26 01:00h   CONSTITUCION   NO2       53        
2018-12-27 01:00h   CONSTITUCION   NO2       56        
2019-01-09 01:00h   CONSTITUCION   NO2       51        
2019-01-11 01:00h   CONSTITUCION   NO2       60        
2019-01-12 01:00h   CONSTITUCION   NO2       52        
2019-02-04 01:00h   CONSTITUCION   NO2       58        
2019-02-13 01:00h   CONSTITUCION   NO2       54        
2019-02-14 01:00h   CONSTITUCION   NO2       57        
2019-02-15 01:00h   CONSTITUCION   NO2       69        
2019-02-16 01:00h   CONSTITUCION   NO2       63        
2019-02-17 01:00h   CONSTITUCION   NO2       53        
2019-02-21 01:00h   CONSTITUCION   NO2       53        
2019-02-22 01:00h   CONSTITUCION   NO2       55        
2019-02-27 01:00h   CONSTITUCION   NO2       58        
2018-12-21 01:00h   MONTEVIL       NO2       55        
2018-12-21 01:00h   S.BARBARA      NO2       52        
==================================================================
